Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Author(s)_ID,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"acevedo whitehouse, karina",16,2,2,1,1,6506351004,2,UCOL-0003,2017,8,5,False,False,0.5,0.0,-2.5592387,2.8414464
"acosta chamorro, veronica",0,1,1,1,0,57264583400,1,UCOL-0005,2021,4,0,False,False,1.0,0.0,-20.48871,43.757248
"acosta, . alberto",26,2,2,2,0,55531596600,2,UCOL-0007,2013,12,10,False,False,1.0,0.0,22.626009,32.87105
"afzal, muhammad",18,5,4,0,5,57211395520,4,UCOL-0009,2016,9,5,False,False,0.0,0.0,-5.714946,-29.641792
"aguilar melendez, armando",0,2,2,1,1,57194113576,2,UCOL-0012,2024,1,0,False,False,0.5,0.0,-16.434362,2.1096804
"aguilar olguin, sergio",6,3,3,3,0,57218167496,3,UCOL-0013,2020,5,5,False,False,1.0,0.0,-5.628681,45.293636
"aguilar padilla, jorge",15,2,2,2,0,57812026200,2,UCOL-0014,2022,3,0,False,False,1.0,0.0,-19.109776,30.055103
"aguilar, cristobal noe",16,2,2,1,1,7102461199,1,UCOL-0018,2010,15,15,False,False,0.5,0.0,8.716921,-0.7345143
"aguilar, luis contreras",6,1,1,1,0,35323875900,1,UCOL-0022,2020,5,5,False,False,1.0,0.0,-7.543537,50.07613
"aguirre hernandez, baltazar",4,1,1,1,0,35092022500,1,UCOL-0024,2019,6,5,False,False,1.0,0.0,3.5366228,49.458267
"ahumada centeno, miguel",3,1,1,1,0,57216338213,1,UCOL-0025,2020,5,5,False,False,1.0,0.0,-8.512922,49.580505
"ahumada martinez, omar",7,1,1,1,0,57202425202,1,UCOL-0027,2018,7,5,False,False,1.0,0.0,12.436892,44.38137
"alamilla, javier",122,20,15,15,5,22833699300,12,UCOL-0030,2015,10,10,True,True,0.75,0.0,13.7363825,15.623767
"albarado, alondra",12,1,1,1,0,34876276900,1,UCOL-0034,2010,15,15,False,False,1.0,0.0,24.81566,29.536922
"alcala perez, mario",2,2,2,2,0,59305248500,1,UCOL-0036,2024,1,0,False,False,1.0,0.0,-51.449196,24.22675
"alcala, emmanuel",3,1,1,1,0,57211230054,1,UCOL-0038,2022,3,0,False,False,1.0,0.0,-19.26379,23.763428
"alcaraz siqueiros, julio",1,2,2,1,1,58848333800,2,UCOL-0040,2024,1,0,False,False,0.5,0.0,-16.426538,2.0872235
"alcazar, angela",229,8,6,5,3,7003916199,6,UCOL-0043,2012,13,10,True,True,0.625,0.0,13.219374,6.5870223
"alfonso, lster",9,2,2,2,0,14831081900,2,UCOL-0045,2012,13,10,False,False,1.0,0.0,23.547354,31.79571
"almeida zamora, bilgai",12,2,1,2,0,57670061300,2,UCOL-0048,2022,3,0,False,False,1.0,0.0,-19.014332,29.811699
"alvarado, carlos",18,6,5,5,1,56538012200,4,UCOL-0052,2011,14,10,False,True,0.8333333333333334,0.0,9.682512,6.260408
"alvarado, mauricio",7,1,1,1,0,57219521950,1,UCOL-0054,2020,5,5,False,False,1.0,0.0,-7.8194294,48.86561
"alvarez gonzalez, carlos alfonso",40,6,5,6,0,57221322218,4,UCOL-0057,2018,7,5,False,True,1.0,0.0,6.047734,41.091568
"alvarez, .",1,1,1,1,0,59270940700,1,UCOL-0060,2019,6,5,False,False,1.0,0.0,3.7403822,49.909187
"alvarez, elisa",67,2,1,2,0,57205315758,1,UCOL-0062,2019,6,5,True,False,1.0,0.0,0.6088567,44.220257
"alvaro berlanga, sara",21,2,1,2,0,57221496386,2,UCOL-0066,2021,4,0,False,False,1.0,0.0,-15.574624,41.41684
"amador, adolfo gomez",0,4,2,1,3,55910305800,2,UCOL-0067,2012,13,10,False,False,0.25,0.0,4.9830046,-11.6762
"angel chavez, luis",36,4,4,3,1,56013702200,3,UCOL-0074,2008,17,15,False,False,0.75,0.0,12.557326,2.2784328
"anguiano cuevas, refugio",0,1,1,1,0,57212526378,1,UCOL-0077,2017,8,5,False,False,1.0,0.0,17.918762,40.241688
"anguiano garcia, paulina",0,1,1,1,0,59482250500,1,UCOL-0078,2025,0,0,False,False,1.0,0.0,-57.81163,30.030508
