Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"aboukhalil, mary",37,1,1,0,1,1,UCOL-0002,2009,16,15,False,False,0.0,2.0,33.97493,-33.2786
"acoltzin, cuauhtemoc",21,4,4,0,4,4,UCOL-0004,2000,25,25,False,False,0.0,2.0,32.702827,-12.572524
"acosta,",28,17,13,0,17,7,UCOL-0006,2006,19,15,False,True,0.0,2.0,28.028654,-1.2859468
"aganza torres,",25,5,5,0,5,4,UCOL-0010,2014,11,10,False,False,0.0,2.0,3.206802,-32.062378
"aguilar velasco, jose",60,1,1,0,1,1,UCOL-0016,2014,11,10,True,False,0.0,2.0,4.127634,-34.910557
"aguilar, .",2,1,1,0,1,1,UCOL-0017,2005,20,20,False,False,0.0,2.0,36.63038,-15.8460455
"aguilar, miguel",8,1,1,0,1,1,UCOL-0023,2012,13,10,False,False,0.0,2.0,12.999979,-40.683113
"al amri, abdullah",16,1,1,0,1,1,UCOL-0028,2013,12,10,False,False,0.0,2.0,5.602867,-39.132393
"alatorre,",95,3,3,1,2,3,UCOL-0033,2002,23,20,True,False,0.3333333333333333,2.0,24.268774,-7.597508
"alcala,",96,21,20,3,18,8,UCOL-0037,2011,14,10,True,True,0.14285714285714285,2.0,25.884275,0.4304156
"alcaraz moreno, noemi",109,3,3,0,3,3,UCOL-0039,2012,13,10,True,False,0.0,2.0,9.088036,-33.474422
"alcaraz, pablo",13,7,7,0,7,6,UCOL-0042,2009,16,15,False,True,0.0,2.0,20.88616,-32.40665
"alicia, olmedo buen rostro bertha",0,1,1,0,1,1,UCOL-0046,2008,17,15,False,False,0.0,2.0,41.685257,-27.501554
"almanza ramirez, juan",21,1,1,0,1,1,UCOL-0047,2013,12,10,False,False,0.0,2.0,5.624067,-38.600048
"alonso rivera,",8,1,1,0,1,1,UCOL-0049,2013,12,10,False,False,0.0,2.0,6.662131,-39.153027
"alvarado, .",13,2,2,0,2,2,UCOL-0051,2010,15,15,False,False,0.0,2.0,25.941936,-39.103916
"alvarado, isaac uribe",7,4,4,0,4,4,UCOL-0053,2011,14,10,False,False,0.0,2.0,19.687164,-35.502045
"alvarez buylla, ramon",188,14,8,5,9,6,UCOL-0055,1991,34,30,True,True,0.35714285714285715,2.0,30.449753,-5.7225413
"alvarez flores, jose",27,16,11,3,13,9,UCOL-0056,2006,19,15,False,True,0.1875,2.0,27.103777,-1.2414122
"alvarez,",29,4,4,0,4,2,UCOL-0059,2005,20,20,False,False,0.0,2.0,33.458176,-16.398514
"alvarez, alberto martin",13,2,2,0,2,1,UCOL-0061,2011,14,10,False,False,0.0,2.0,20.137661,-38.060417
"alvarez, omar",29,6,6,2,4,4,UCOL-0064,2010,15,15,False,True,0.3333333333333333,2.0,9.756474,-9.905878
"anaya ventura, aristoteles",49,1,1,0,1,1,UCOL-0069,2008,17,15,False,False,0.0,2.0,36.859562,-28.750408
