Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Author(s)_ID,Publisher_Count,Folio,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Funding_Ratio,Cluster,TSNE1,TSNE2
"aguayo villarreal, ismael alejandro",625,23,16,13,10,36993716500,9,UCOL-0011,2011,14,10,True,True,0.5652173913043478,4.0,27.5028,10.182653
"aquino santos, raul",433,38,27,5,33,23059814000,11,UCOL-0083,2007,18,15,True,True,0.13157894736842105,4.0,34.47943,6.456659
"arambula mendoza,",355,22,10,19,3,56013690200,10,UCOL-0085,2013,12,10,True,True,0.8636363636363636,4.0,17.949167,13.7329
"aranda, alfredo",605,51,18,27,24,35263763200,12,UCOL-0090,2002,23,20,True,True,0.5294117647058824,4.0,34.788338,8.901064
"bose, jayakumar",1084,8,5,3,5,16836275900,5,UCOL-0207,2011,14,10,True,True,0.375,4.0,27.321432,13.07508
"briciobarrios, jaime alberto",108,33,23,9,24,57192255450,17,UCOL-0213,2016,9,5,True,True,0.2727272727272727,4.0,32.53549,6.0595846
"caceres, elena",736,22,6,15,7,56269083300,4,UCOL-0229,2006,19,15,True,True,0.6818181818181818,4.0,27.999601,10.079612
"capra,",591,21,9,16,5,7003753916,11,UCOL-0245,2007,18,15,True,True,0.7619047619047619,4.0,27.435223,9.532117
"castillo, victor",194,29,19,5,24,56013653000,15,UCOL-0284,2010,15,15,True,True,0.1724137931034483,4.0,32.881393,4.114625
"ceballos magana, silvia gillermina",563,32,24,26,6,23982314600,19,UCOL-0293,2012,13,10,True,True,0.8125,4.0,29.470098,9.515305
"chan cupul, wilberth",189,33,23,16,17,36466068500,18,UCOL-0316,2016,9,5,True,True,0.48484848484848486,4.0,32.197548,6.507632
"chen, zhonghua",788,5,4,2,3,57211449346,5,UCOL-0332,2007,18,15,True,False,0.4,4.0,26.743109,13.018733
"contreras castillo, juan",1938,30,28,5,25,56129354500,15,UCOL-0357,2004,21,20,True,True,0.16666666666666666,4.0,30.773417,13.893648
"dreisigacker, susanne",1551,15,8,13,2,8852560900,9,UCOL-0478,2017,8,5,True,True,0.8666666666666667,4.0,29.506279,14.101826
"edwards,",497,42,31,3,39,8417569100,8,UCOL-0487,2004,21,20,True,True,0.07142857142857142,4.0,34.759136,7.083903
"escalante minakata,",567,28,20,14,14,23488417500,13,UCOL-0503,2007,18,15,True,True,0.5,4.0,28.249062,9.417669
"espinoza gomez, francisco",588,46,36,13,33,55664083700,26,UCOL-0513,2001,24,20,True,True,0.2826086956521739,4.0,34.494343,8.7486515
"fernandez, francisco",338,36,18,13,23,34770989300,7,UCOL-0534,2005,20,20,True,True,0.3611111111111111,4.0,33.451935,5.9916773
"ferrer, tania",898,30,21,24,6,6701695713,10,UCOL-0537,2003,22,20,True,True,0.8,4.0,30.554472,10.773784
"foster, john",649,22,11,1,21,7403380949,9,UCOL-0568,2003,22,20,True,True,0.045454545454545456,4.0,27.95686,5.301674
"fuglsang, anja",818,4,2,1,3,7003385103,2,UCOL-0581,2007,18,15,True,False,0.25,4.0,26.781431,13.049325
"garza veloz,",290,39,33,27,12,39761398900,15,UCOL-0650,2013,12,10,True,True,0.6923076923076923,4.0,31.592102,7.320231
"garza, luis",97,33,21,30,3,56002736000,18,UCOL-0651,2011,14,10,True,True,0.9090909090909091,4.0,30.54142,7.0851345
"gaytan lugo, laura",612,54,27,9,45,55568852800,14,UCOL-0658,2012,13,10,True,True,0.16666666666666666,4.0,35.84408,7.725592
"gomez sandoval, zeferino",340,35,23,25,10,57196358556,15,UCOL-0676,2008,17,15,True,True,0.7142857142857143,4.0,31.258144,7.4702096
"gonzalez, jorge",678,21,17,9,12,7404494036,10,UCOL-0718,2010,15,15,True,True,0.42857142857142855,4.0,27.4696,10.323686
"guerrero ibanez, juan antonio",1714,24,20,7,17,24832847500,13,UCOL-0734,2008,17,15,True,True,0.2916666666666667,4.0,30.402645,13.908235
"hofmann, .",289,41,15,7,34,56000736700,11,UCOL-0819,2011,14,10,True,True,0.17073170731707318,4.0,34.105366,5.7280264
"juliana, philomin",695,14,6,11,3,56720364200,6,UCOL-0892,2017,8,5,True,True,0.7857142857142857,4.0,24.658825,11.56069
"leyva gomez, gerardo",654,23,20,13,10,26021334500,14,UCOL-0928,2017,8,5,True,True,0.5652173913043478,4.0,25.661777,10.94927
"lezama gutierrez, roberto",762,34,18,6,28,6602421057,13,UCOL-0930,1999,26,25,True,True,0.17647058823529413,4.0,32.92001,9.656509
"linan cabello, .",430,45,24,23,22,55995924100,19,UCOL-0934,2003,22,20,True,True,0.5111111111111111,4.0,34.538414,8.124169
"lugo radillo, agustin",135,32,20,4,28,55937596700,13,UCOL-0987,2012,13,10,True,True,0.125,4.0,33.300194,4.55469
"marquez, luis jorge garcia",162,34,23,10,24,56013595500,24,UCOL-1046,2009,16,15,True,True,0.29411764705882354,4.0,32.875237,4.82355
"martinez martinez, francisco",424,53,28,26,27,55989750700,17,UCOL-1063,2005,20,20,True,True,0.49056603773584906,4.0,35.11877,8.373149
"maycotte, paola",1700,2,2,2,0,23970996500,2,UCOL-1090,2019,6,5,True,False,1.0,4.0,29.385578,14.275875
"melnikov, valery",379,49,37,25,24,15071852000,28,UCOL-1103,2004,21,20,True,True,0.5102040816326531,4.0,34.83098,8.184442
"mendoza munoz, nestor",969,32,26,19,13,37049115000,16,UCOL-1116,2017,8,5,True,True,0.59375,4.0,29.130362,11.429275
"molgado, alberto",162,34,15,17,17,22235024300,14,UCOL-1144,2007,18,15,True,True,0.5,4.0,31.829065,5.2991815
"moreno galindo, eloy",397,34,20,24,10,25031743400,13,UCOL-1182,2010,15,15,True,True,0.7058823529411765,4.0,31.142479,7.7345138
"muniz valencia, roberto",758,40,30,31,9,23052089400,22,UCOL-1198,2012,13,10,True,True,0.775,4.0,29.682192,10.432837
"olivos ortiz, aramis",447,44,30,24,20,15758282000,23,UCOL-1249,2006,19,15,True,True,0.5454545454545454,4.0,34.35121,7.9387927
"ornelas paz, jose de jesus",981,33,20,20,13,56000916200,15,UCOL-1260,2010,15,15,True,True,0.6060606060606061,4.0,29.568459,11.095637
"ortega ortiz, christian",250,37,21,26,11,55841950100,23,UCOL-1273,2013,12,10,True,True,0.7027027027027027,4.0,31.506529,7.2227516
"padilla martinez, itzia",267,34,17,12,22,6701627733,12,UCOL-1292,2005,20,20,True,True,0.35294117647058826,4.0,32.231663,4.772549
"perez martinez, . david",789,24,15,14,10,36991113000,8,UCOL-1335,2010,15,15,True,True,0.5833333333333334,4.0,27.988098,10.506905
"pineda urbina,",225,26,22,23,3,55540985500,14,UCOL-1356,2013,12,10,True,True,0.8846153846153846,4.0,18.081633,13.594306
"quintanar guerrero, david",499,16,15,6,10,6603782089,11,UCOL-1385,2017,8,5,True,True,0.375,4.0,24.405909,10.5463915
"reyes davila, .",865,29,12,20,9,6507068322,7,UCOL-1451,2001,24,20,True,True,0.6896551724137931,4.0,30.734476,10.718298
"rios silva,",357,53,33,15,38,6506543445,20,UCOL-1470,2002,23,20,True,True,0.2830188679245283,4.0,35.225426,8.400775
"ruiz, ..",333,41,34,5,36,14015374300,17,UCOL-1562,2006,19,15,True,True,0.12195121951219512,4.0,34.48254,6.4498134
"sanchez ramirez, carmen",176,37,26,11,26,23991858700,18,UCOL-1602,2010,15,15,True,True,0.2972972972972973,4.0,33.147194,5.1686606
"santana, pedro",521,48,29,8,40,58039380400,16,UCOL-1618,2010,15,15,True,True,0.16666666666666666,4.0,35.492474,7.4132733
"serrano posada, hugo",455,28,20,23,5,57203634874,13,UCOL-1638,2016,9,5,True,True,0.8214285714285714,4.0,18.580204,14.023883
"singh, ravi",1683,16,8,13,3,7407264239,7,UCOL-1652,2017,8,5,True,True,0.8125,4.0,29.621822,14.132255
"stuart, alexander",1047,30,7,26,4,26632484300,9,UCOL-1674,2017,8,5,True,True,0.8666666666666667,4.0,29.136747,11.582587
"suchismita, mondal",634,10,6,7,3,23478121200,6,UCOL-1676,2017,8,5,True,True,0.7,4.0,24.492678,11.5724945
"torres lopez, liliana",1912,10,9,10,0,57205463885,7,UCOL-1709,2019,6,5,True,True,1.0,4.0,29.53642,14.277032
"valdez, laura",437,43,29,21,22,57196550419,22,UCOL-1745,2004,21,20,True,True,0.4883720930232558,4.0,34.400173,7.917878
"velarde buendia, ana maria",920,11,9,3,8,54418137100,7,UCOL-1783,2011,14,10,True,True,0.2727272727272727,4.0,27.099087,12.920944
"zambrano zaragoza, maria",430,9,8,5,4,6506759491,7,UCOL-1845,2018,7,5,True,True,0.5555555555555556,4.0,14.371532,10.531455
"zeadally, sherali",1609,6,6,1,5,7003472739,5,UCOL-1860,2015,10,10,True,True,0.16666666666666666,4.0,29.563799,13.938664
"zepeda jazo, isaac",913,9,6,3,6,23092599400,6,UCOL-1866,2007,18,15,True,True,0.3333333333333333,4.0,26.9651,12.9831705
