Normalized_Author_Name,Cited_by,Publications,Journals,Funded_publications,Not_funded_publications,Author(s)_ID,Authors,Author_full_names,Publisher_Count,First_Year,Seniority,Seniority_Group,Cited_Above_Q3,Publications_Above_Q3,Cluster,TSNE1,TSNE2,Funding_Ratio,Funded_ratio
"aguayo villarreal, ismael alejandro",625,23,16,13,10,36993716500,Aguayo-Villarreal,"Aguayo-Villarreal, Ismael Alejandro",9,2011,14,10,True,True,4.0,26.8901,10.032483,0.5652173913043478,0.5652173913043478
"aquino santos, raul",433,38,27,5,33,23059814000,Aquino-Santos,"Aquino-Santos, Raúl",11,2007,18,15,True,True,4.0,33.73173,6.3105316,0.13157894736842105,0.13157894736842105
"arambula mendoza,",355,22,10,19,3,56013690200,Arámbula-Mendoza,"Arámbula-Mendoza, R.",10,2013,12,10,True,True,4.0,17.724752,13.583136,0.8636363636363636,0.8636363636363636
"aranda, alfredo",605,51,18,27,24,35263763200,Aranda,"Aranda, Alfredo",12,2002,23,20,True,True,4.0,34.09374,8.701864,0.5294117647058824,0.5294117647058824
"bose, jayakumar",1084,8,5,3,5,16836275900,Bose,"Bose, Jayakumar",5,2011,14,10,True,True,4.0,26.757963,12.902642,0.375,0.375
"briciobarrios, jaime alberto",108,33,23,9,24,57192255450,Bricio‐Barrios,"Bricio‐Barrios, Jaime Alberto",17,2016,9,5,True,True,4.0,31.837616,5.8999286,0.2727272727272727,0.2727272727272727
"caceres, elena",736,22,6,15,7,56269083300,Caceres,"Caceres, Elena",4,2006,19,15,True,True,4.0,27.375507,9.925428,0.6818181818181818,0.6818181818181818
"capra,",591,21,9,16,5,7003753916,Capra,"Capra, L.",11,2007,18,15,True,True,4.0,26.818794,9.391303,0.7619047619047619,0.7619047619047619
"castillo, victor",194,29,19,5,24,56013653000,Castillo,"Castillo, Víctor H.",15,2010,15,15,True,True,4.0,32.131924,4.018619,0.1724137931034483,0.1724137931034483
"ceballos magana, silvia gillermina",563,32,24,26,6,23982314600,Ceballos-Magaña,"Ceballos-Magaña, Silvia Gillermina",19,2012,13,10,True,True,4.0,28.822008,9.365253,0.8125,0.8125
"chan cupul, wilberth",189,33,23,16,17,36466068500,Chan Cupul,"Chan Cupul, Wilberth",18,2016,9,5,True,True,4.0,31.50384,6.366469,0.48484848484848486,0.48484848484848486
"chen, zhonghua",788,5,4,2,3,57211449346,Chen,"Chen, Zhonghua",5,2007,18,15,True,False,4.0,26.203503,12.832983,0.4,0.4
"contreras castillo, juan",1938,30,28,5,25,56129354500,Contreras-Castillo,"Contreras-Castillo, Juan",15,2004,21,20,True,True,4.0,30.163355,13.682407,0.16666666666666666,0.16666666666666666
"dreisigacker, susanne",1551,15,8,13,2,8852560900,Dreisigacker,"Dreisigacker, Susanne",9,2017,8,5,True,True,4.0,28.915379,13.88795,0.8666666666666667,0.8666666666666667
